CEO,name,company,rank,sector,newcomer,ceo_founder,ceo_woman,birth_year,age
Carl Douglas McMillon,Carl Douglas McMillon,Walmart,1,Retailing,no,no,no,1966,54
Jeffrey P. Bezos,Jeffrey Bezos,Amazon,2,Retailing,no,yes,no,1964,56
Darren W. Woods,Darren Woods,Exxon Mobil,3,Energy,no,no,no,1965,55
Timothy D. Cook,Timothy Cook,Apple,4,Technology,no,no,no,1960,60
Karen S. Lynch,Karen Lynch,CVS Health,5,Health Care,no,no,yes,1963,57
Warren E. Buffett,Warren Buffett,Berkshire Hathaway,6,Financials,no,no,no,1930,90
Andrew P. Witty,Andrew Witty,UnitedHealth Group,7,Health Care,no,no,no,1964,56
Brian S. Tyler,Brian Tyler,McKesson,8,Health Care,no,no,no,1972,48
John T. Stankey,John Stankey,AT&T,9,Telecommunications,no,no,no,1962,58
Steven H. Collis,Steven Collis,AmerisourceBergen,10,Health Care,no,no,no,1961,59
Sundar Pichai,Sundar Pichai,Alphabet,11,Technology,no,no,no,1972,48
James D. Farley Jr.,James Farley Jr.,Ford Motor,12,Motor Vehicles & Parts,no,no,no,1962,58
David Cordani,David Cordani,Cigna,13,Health Care,no,no,no,1966,54
W. Craig Jelinek,W. Craig Jelinek,Costco Wholesale,14,Retailing,no,no,no,1952,68
Michael K. Wirth,Michael Wirth,Chevron,15,Energy,no,no,no,1961,59
Michael C. Kaufmann,Michael Kaufmann,Cardinal Health,16,Health Care,no,no,no,1949,71
James Dimon,James Dimon,JPMorgan Chase,17,Financials,no,no,no,1956,64
Mary T. Barra,Mary Barra,General Motors,18,Motor Vehicles & Parts,no,no,yes,1961,59
Stefano Pessina,Stefano Pessina,Walgreens Boots Alliance,19,Food & Drug Stores,no,no,no,1941,79
Hans E. Vestberg,Hans Vestberg,Verizon Communications,20,Telecommunications,no,no,no,1965,55
Satya Nadella,Satya Nadella,Microsoft,21,Technology,no,no,no,1967,53
Michael J. Hennigan,Michael Hennigan,Marathon Petroleum,22,Energy,no,no,no,1942,78
W. Rodney McMullen,W. Rodney McMullen,Kroger,23,Food & Drug Stores,no,no,no,1961,59
Hugh R. Frater,Hugh Frater,Fannie Mae,24,Financials,no,no,no,,
Brian T. Moynihan,Brian Moynihan,Bank of America,25,Financials,no,no,no,1959,61
Craig A. Menear,Craig Menear,Home Depot,26,Retailing,no,no,no,1958,62
Greg C. Garland,Greg Garland,Phillips 66,27,Energy,no,no,no,,
Brian L. Roberts,Brian Roberts,Comcast,28,Telecommunications,no,no,no,1959,61
Gail K. Boudreaux,Gail Boudreaux,Anthem,29,Health Care,no,no,yes,1960,60
Charles W. Scharf,Charles Scharf,Wells Fargo,30,Financials,no,no,no,1965,55
Jane Fraser,Jane Fraser,Citigroup,31,Financials,no,no,yes,1967,53
Joseph W. Gorder,Joseph Gorder,Valero Energy,32,Energy,no,no,no,,
H. Lawrence Culp Jr.,H. Lawrence Culp Jr.,General Electric,33,Industrials,no,no,no,1963,57
