sector,rank,rank_change,profit margin,num. of employees,ceo_founder,ceo_woman,age,BS,MBA
Retailing,1,0,0.02840080616225542,2200000,0,0,54.0,0,1
Retailing,2,3,0.04130870306072251,798000,1,0,56.0,1,0
Energy,3,-1,0.0541258709584884,74900,0,0,55.0,0,1
Technology,4,-1,0.21238094505984456,137000,0,0,60.0,1,1
Health Care,5,3,0.02583574788921083,290000,0,1,57.0,0,1
Financials,6,-2,0.319763879724762,391500,0,0,90.0,1,0
Health Care,7,-1,0.057149346492948734,325000,0,0,56.0,0,0
Health Care,8,-1,0.00015864202427222972,70000,0,0,48.0,0,0
Telecommunications,9,0,0.07673033726468462,247800,0,0,58.0,0,0
Health Care,10,0,0.004763095310350127,21500,0,0,59.0,0,0
Technology,11,4,0.2121811228430034,118899,0,0,48.0,0,1
Motor Vehicles & Parts,12,0,0.00030147530468248876,190000,0,0,58.0,0,0
Health Care,13,52,0.033236523709675315,73700,0,0,54.0,0,1
Retailing,14,0,0.023961546269555937,201500,0,0,68.0,0,0
Energy,15,-4,0.019956864779273255,48200,0,0,59.0,1,0
Health Care,16,0,0.009365509090659228,49500,0,0,71.0,0,0
Financials,17,1,0.25579615508839926,256981,0,0,64.0,0,1
Motor Vehicles & Parts,18,-5,0.049053826591954064,164000,0,1,59.0,1,0
Food & Drug Stores,19,-2,0.02909415048295413,287000,0,0,79.0,0,0
Telecommunications,20,-1,0.14609306275972941,135000,0,0,55.0,0,0
Technology,21,5,0.3118171054409065,144000,0,0,53.0,0,1
Energy,22,9,0.021127606899922283,60910,0,0,78.0,0,0
Food & Drug Stores,23,-3,0.01356655708748344,435000,0,0,59.0,0,0
Financials,24,-2,0.11770182205080462,7500,0,0,57.0,0,0
Financials,25,0,0.24148465080245446,208131,0,0,61.0,0,0
Retailing,26,1,0.10199138126559311,415700,0,0,62.0,0,0
Energy,27,-4,0.02807619638733468,14500,0,0,57.0,0,0
Telecommunications,28,4,0.11985276569183602,190000,0,0,61.0,1,0
Health Care,29,4,0.04612668285146767,70600,0,1,60.0,0,0
Financials,30,-1,0.1881249097820334,259800,0,0,55.0,0,1
Financials,31,-1,0.18754168720818953,200000,0,1,53.0,1,1
Energy,32,-8,0.02357659472982313,10222,0,0,57.0,0,0
Industrials,33,-12,-0.05229273006070536,205000,0,0,57.0,0,1
Technology,34,0,0.050090066627601626,165000,1,0,55.0,0,0
Health Care,35,2,0.1842454819093579,132200,0,0,60.0,1,1
Financials,36,0,0.0704411974008537,57672,0,0,61.0,0,0
Retailing,37,2,0.042003789430561246,368000,0,0,62.0,0,0
Technology,38,0,0.1222471385795948,383800,0,0,58.0,0,0
Aerospace & Defense,39,7,0.07186615787970822,243200,0,0,57.0,0,0
Aerospace & Defense,40,-12,-0.0083073185386434,161100,0,0,63.0,0,0
Financials,41,-1,0.09602662229617305,6892,0,0,57.0,0,0
Health Care,42,9,0.01769852222028698,56600,0,0,57.0,0,0
Transportation,43,-2,0.059923880476151915,377640,0,1,57.0,0,0
Retailing,44,-2,0.059336364140378114,260000,0,0,57.0,0,1
Technology,45,-2,0.2924755089279511,110800,0,0,59.0,0,0
Technology,46,11,0.2614679547929898,44942,1,0,57.0,1,0
Transportation,47,0,0.007748267401317206,389500,1,0,76.0,0,0
Financials,48,-4,0.08473139902326918,49000,0,0,57.0,0,0
Media,49,4,0.15889032629006755,223000,0,0,57.0,0,0
Household Products,50,-5,0.057576384374445955,97000,0,0,62.0,0,0
"Food, Beverages & Tobacco",51,-3,0.10890248805110109,267000,0,0,57.0,0,0
Health Care,52,4,0.04171803723338676,46000,0,0,57.0,0,1
Financials,53,-3,0.064591787924144,51511,0,0,57.0,0,0
"Food, Beverages & Tobacco",54,-5,0.02132826033160109,38100,0,0,58.0,0,0
Food & Drug Stores,55,-3,0.0021657071587276675,267000,0,0,57.0,0,0
Wholesalers,56,-2,0.027852127378193727,69000,0,0,57.0,0,0
Aerospace & Defense,57,3,0.10415970039456965,110000,0,0,57.0,0,0
Technology,58,-3,0.053645585131731226,56000,0,0,55.0,0,1
Energy,59,0,0.06625717078929408,12812,0,0,57.0,0,0
Financials,60,2,0.15700456214532102,38300,0,0,58.0,0,0
Financials,61,2,0.16799509503372165,60431,0,0,62.0,0,1
Industrials,62,-4,0.11325278810408922,102300,0,0,57.0,1,0
Technology,63,1,0.22389411220715166,75900,0,0,54.0,0,0
Health Care,64,-3,0.3144541062801932,88300,0,0,57.0,0,0
Health Care,65,2,0.0682756739909615,245000,0,0,57.0,0,0
Financials,66,0,0.06730189361958751,46000,0,0,53.0,0,1
Financials,67,5,0.14374734155678434,64500,0,0,61.0,0,1
Transportation,68,1,0.1014104282340928,91224,0,0,63.0,0,0
Health Care,69,7,0.21014090520922288,71000,0,0,57.0,0,0
Transportation,70,-2,0.036837965390665965,133700,0,0,58.0,0,1
Telecommunications,71,-1,0.03644786294904292,95100,0,0,57.0,0,0
Financials,72,10,0.1084946838276441,46035,0,0,62.0,1,1
Financials,73,-2,0.022753340012602964,11519,0,0,57.0,0,0
Financials,74,-1,0.0188645354917921,28114,0,0,57.0,0,0
Retailing,75,-1,0.035313259086117606,125000,0,1,57.0,0,0
Transportation,76,2,0.06955777988395478,96000,0,0,53.0,0,0
Financials,77,-2,0.02415101323216434,45000,0,0,57.0,0,0
Chemicals,78,0,-0.03164070685199413,36500,0,0,57.0,0,0
"Food, Beverages & Tobacco",79,1,0.04768305624336753,141000,0,0,57.0,0,0
Retailing,80,5,0.07843804683941798,286000,0,0,57.0,0,0
Financials,81,-2,0.06081167932289194,16533,0,0,57.0,0,0
Technology,82,-1,0.28053966486103377,136000,0,1,59.0,0,0
Aerospace & Defense,83,9,0.08853875476493012,102900,0,1,57.0,0,0
Industrials,84,3,0.08286209180294463,73489,0,0,43.0,1,0
Apparel,85,5,0.10299869621903521,76700,0,0,60.0,0,1
Financials,86,13,0.10174438718373853,41571,0,1,57.0,0,0
Food & Drug Stores,87,4,0.07813783707894381,207000,0,0,30.0,0,0
"Food, Beverages & Tobacco",88,12,0.23936027478130198,86200,0,0,55.0,0,0
Financials,89,-5,0.09933858386080195,9896,0,0,57.0,0,0
Wholesalers,90,-2,0.01012205933229545,15000,0,0,57.0,0,0
Energy,91,-8,0.004858904370026345,5500,0,0,57.0,0,0
Industrials,92,-15,0.16734315835353727,113000,0,0,57.0,0,0
Energy,93,-7,0.19604581401690754,10400,0,0,57.0,1,0
Financials,94,7,0.11248153992149905,35076,0,0,57.0,0,0
Energy,95,-2,0.08525466054939311,32713,0,0,57.0,0,0
Aerospace & Defense,96,12,0.06642829703613959,90000,0,1,57.0,0,0
Financials,97,1,0.16424806017887816,51900,1,0,70.0,0,1
Energy,98,-4,0.009831001811755622,5000,0,0,57.0,0,0
Health Care,99,-3,0.23693861600432875,30000,0,0,57.0,0,0
Financials,100,12,0.002586862023892756,2012,0,0,57.0,0,0
Energy,101,-12,0.14002476425164384,7300,0,0,22.0,1,0
Financials,102,9,0.03926474595585503,5964,0,0,57.0,0,0
Chemicals,103,-8,0.14220811550908638,96163,0,0,57.0,0,0
Health Care,104,-1,0.11556544633901705,107000,0,0,57.0,0,1
"Food, Beverages & Tobacco",105,-8,0.02601526621839783,10703,0,0,57.0,0,0
Financials,106,0,0.08302460340077895,30800,0,0,55.0,0,0
"Food, Beverages & Tobacco",107,3,0.24106693507800706,73500,0,0,63.0,0,1
Aerospace & Defense,108,6,0.11458047710446943,70000,0,0,57.0,0,0
Technology,109,-7,0.036004805217092845,61600,0,0,57.0,0,0
Wholesalers,110,-1,-0.007058180711558679,19300,0,0,59.0,1,0
Media,111,106,0.11894146411620883,26280,0,0,57.0,1,1
Retailing,112,7,0.06170642069611587,143000,0,0,57.0,0,0
Financials,113,4,0.25302836230558096,69651,0,0,57.0,0,0
"Hotels, Restaurants & Leisure",114,7,0.1357748051575715,346000,0,0,60.0,0,0
Health Care,115,23,0.1315356664754255,30000,0,0,57.0,0,0
Wholesalers,116,9,0.014842515131655036,28000,0,0,57.0,0,0
"Food, Beverages & Tobacco",117,-1,0.14960569042832844,80000,0,0,57.0,0,0
Industrials,118,12,0.09327843685668191,27000,0,0,57.0,1,0
Technology,119,5,0.14470284237726097,75000,0,0,57.0,0,0
Retailing,120,-2,0.022265208637637677,123000,0,0,57.0,0,0
Technology,121,19,0.0113557706379562,200000,0,0,57.0,0,0
"Food, Beverages & Tobacco",122,-7,0.07747127357168596,37000,0,0,53.0,0,0
Energy,123,3,0.15199935112336768,28793,0,1,39.0,1,0
Motor Vehicles & Parts,124,20,-0.03507201562372854,48016,1,0,49.0,1,0
Energy,125,-12,0.01303237283847855,3442,0,0,57.0,0,0
Technology,126,11,0.18069459893709058,37000,0,0,57.0,0,0
Energy,127,52,0.014945325019304378,1300,0,0,57.0,0,0
Financials,128,18,0.05367015288292926,100000,0,0,57.0,0,0
Energy,129,0,0.005369577984730263,68000,0,0,57.0,0,0
Wholesalers,130,28,0.021075627280877876,240900,0,0,57.0,0,0
Retailing,131,4,0.03502634387653108,125000,0,0,57.0,0,0
Industrials,132,-4,0.09588053116117262,61615,0,0,57.0,0,0
Wholesalers,133,177,-0.012137421159996765,19000,0,0,57.0,0,0
Technology,134,-29,0.2697171665384944,37000,0,0,57.0,0,0
Health Care,135,-6,0.3356733156407842,23400,0,0,57.0,0,1
Retailing,136,0,0.018801176907081288,26980,0,0,83.0,0,0
Business Services,137,16,0.5257431344387866,19500,0,0,62.0,0,1
Technology,138,12,0.12054697526220294,19000,0,0,57.0,0,1
Materials,139,-19,0.05627100035858319,26800,0,0,57.0,0,0
Health Care,140,-1,0.23992160007127267,11800,0,0,63.0,0,0
Transportation,141,1,0.10255038344925986,60767,0,0,65.0,0,0
Energy,142,-15,-0.05047304534094966,55000,0,0,50.0,0,0
Telecommunications,143,-11,-0.2352127137181376,42500,0,0,60.0,0,0
Materials,144,-11,0.054746156596353235,51000,0,0,57.0,0,0
Health Care,145,-22,0.3726965209794126,33625,0,0,65.0,0,0
Financials,146,-3,0.14811494149818444,11729,0,0,57.0,0,0
